Date,V,ADBE,LLY,COST,MRK,ABBV,PG,AMZN,MSFT,AMD,NVDA,HD,XOM,CVX,JPM,TSLA,GOOGL,META,GOOG,AVGO,UNH,MA,AAPL,JNJ,CRM
2021-07-14,240.72314183809112,604.744470772026,235.85421070127316,408.9037876976271,77.76267176755408,117.29489937680057,137.2071403701815,185.36327578085334,279.3152812946101,90.1439349340176,200.7999427344315,319.50084737335214,60.58083866849683,103.35097591973299,155.16277682701607,221.47114218101595,126.62521251615105,349.45014317387336,130.47103131759383,481.2109345041483,414.713658344965,380.4411657006615,145.74329394684312,169.6160244283395,243.9204665406279
2021-07-15,243.39425950678472,604.7541985738669,234.56318695740703,409.8983660475309,77.70879226820855,117.39977009171963,137.71599848654316,184.2598912002071,280.0600832805022,89.48202784370152,197.9521947209289,320.3308325502013,60.399400314976,103.04943523019169,156.11757927801793,221.42462671688492,127.07752848734833,349.14911662637087,130.93744135697625,482.59851511535845,416.63154635707775,384.0670638260652,146.83280959940282,169.45049480674297,241.97711059346827
2021-07-16,245.00597262472797,605.0561201237407,234.0643413394603,409.31404790302685,77.72625528123265,117.54203546786538,138.5782477651436,182.55088313628593,280.6480971878486,88.37678961686623,192.5732378039298,320.31975587717864,59.43276787579635,101.73380624139652,155.46332002014185,220.80485040312635,127.33254936263766,347.4387510016105,131.3484462491625,480.69928528154423,417.76048895975356,385.9673593205902,147.09220529151312,169.13903827851695,240.83069111797184
2021-07-19,244.94841010567973,605.3259022899606,233.61245006088066,411.0580220125826,77.60318740412278,117.05940569541582,139.30820231335395,181.01550656921978,280.21425464283413,87.56574963648583,189.70758677530435,319.7754667274694,57.81970606287334,99.45893089912872,152.6529964338274,217.65804896608503,126.72064852102363,344.2636310953412,130.9060853308339,474.8820122416548,416.1257650256875,380.99946346495847,146.4261136434444,168.46609514796566,239.73517635140496
2021-07-20,245.05897653993776,606.0966987940244,233.60472305331538,412.9382723258949,77.21731542502341,116.68934717118617,139.71054278866058,179.95431186118628,279.88256662925414,87.00997404241713,187.82423902619803,321.6183947806578,57.02841521765137,98.37594505828852,151.19621197501732,216.92195083871604,126.51362424402767,342.4454323637142,130.93008937690638,471.75994022071717,415.08534759288193,379.2164755377021,146.52274935044716,168.35921600172685,239.07907975496298
2021-07-21,244.56882736043005,606.6923539094121,233.6305014961445,413.68869264795245,77.01002759608407,116.57639345184526,139.8717911279491,179.03655352212195,279.7030519216959,87.08797968128079,187.21672235191522,322.8807486212911,56.72754882394866,98.11259075466059,150.70828034922494,216.94696698198192,126.35120492170061,341.835093542694,130.9738697965319,471.2509763169253,415.111784133977,376.8272497797539,145.674635214038,168.25127924946827,239.6031486449977
2021-07-22,243.65071615145618,610.0063126940616,235.20892246827668,414.7033409190927,76.77907393684131,116.68756080111481,139.69120376827422,179.11558238440028,280.60838922561805,87.96053608236494,187.79263646678422,323.40806074765567,56.48925236456635,97.69588486173595,149.99538416995196,216.86988252864867,126.47672176868542,343.1617765586184,131.28282909601384,471.08021674094863,413.8073984420912,375.3872728501588,145.21574364962123,168.47777595426268,241.36604465883093
2021-07-23,243.59862935649804,614.313453094909,237.9011095697565,416.803962042588,76.67747949487206,116.72740670828767,139.51297392066394,179.83330336119198,282.1703722754996,89.2369832567422,190.57859491138527,325.49570972978466,56.359303795733155,97.65214420321473,149.6992597856476,216.8658081211812,128.47393206117576,354.545344159172,132.93043184808394,473.797724754489,413.0210361791719,377.06944358525203,145.50887747158248,169.00034085586444,242.69920222404917
2021-07-26,245.31381685541058,618.6018568272863,240.02483187194494,418.67842786848786,76.65694187367559,117.25840935393109,139.38982464461733,181.51679394443852,284.91648296011874,90.40340719049183,192.25587145025332,328.2269719221556,57.18503578947929,98.93863074626648,151.07740074576066,217.93560932885399,130.56459908955753,360.94396821184773,135.50407980013728,476.8084821590128,414.51989786560614,384.21114273197645,147.09742756498824,169.93925996556493,244.2635082930616
2021-07-27,246.75629574700923,620.65615327371,241.81987735773055,420.7241264573327,77.08495815812161,117.67946853534055,139.62270636473752,182.08063354027917,286.4995474650142,91.11178091351864,194.20880618033553,328.9251383051645,57.70632061610569,99.89013117607642,151.56837233757938,216.62649368365834,131.72411077806714,364.6702846171049,136.65888652217592,479.0800374060561,415.18227052776047,387.5733771592476,147.23947411299326,171.09473969804424,245.03705690185694
